clase;medio;texto_limpio
Homicidi Consumat;La Vanguardia;detenido matar pareja sant joan despi losmossosd esquadrahan detenido madrugada unhombrede anos nacionalidad espanola comopresuntoautorde unhomicidioensantjoandespi llobregat investiga circunstancias muerte mujer encontrada martes domicilio sant joan despi hombre anos nacionalidad espanola antecedentes judiciales agresiones machistas informado tribunal superior justicia catalunya tsjc
Assassinat Consumat;Ara;detenen aeroport home fugia assassinat parella barcelonaun home intentava comprar bitllet matinada aeroport prat buscava fugir pogues agafar cap avio detingut buscaven perque feia estona havien trobat cos vida parella domicili compartien sant joan despi agents descobert assassinat nit despres rebre alerta familia victima avisat intentaven contactar feia hores dona responia rebut cap trucada veins alertes baralles crits habitatge sospita hagues pogut passar cosa entrat pis familiar tenia claus moment trobat escena crim habitatge parella dona aixo activat recerca localitzar sigut mes tard cop avis recerca agents vist home anys nacionalitat espanyola aeroport prat presumpte autor assassinat quedat detingut pogues fugir vol victima sant joan despi quarta crim masclista produeix catalunya dues primeres seruna dona anys filla anys assassinades reis parella pare respectivament esplugues llobregat home suicidar rebre alta hospitalaria tancat preventivament preso crim dies despres mosso esquadrava matar exparella terrassaamb arma tenia despres suicidar
Homicidi Consumat;Ara;investiguen mort violenta home sabadell barcelonaels investigant circumstancies mort home sabadell rebre avis ahir cap persona greument ferida carrer barri concordia cop alla agents constatar mort violenta home agents divisio investigacio criminal regio policial metropolitana nord fet carrec investigacio identificar presumpte autor autors fets
Lesions;El Periódico;busquen autor apunyalament mortal sabadell elsmossos esquadrainvestiguenl homicidid home ocorregut dimecres nit enmig carrer asabadell valles occidental
Homicidi Consumat;La Vanguardia;prision provisional sospechoso matar pareja sant joan despi juzgado violencia mujer sant feliu llobregat barcelona acordado juevesprision provisional comunicada fianzapara hombredetenidopor presuntamente matar suparejaensant joan despi barcelona huir avion informado tribunal superior justicia catalunya tsjc comunicado causa abierta presunto delito homicidio patrimonial
Contra la salut pública;El Periódico;mar torna quilos haixix platja mont roig despres gloria elsmossos esquadrahan localitzatmes quilos haixixen platja tarragonina demont roig camp camp sigut arrossegats laborrasca gloria afectar forca litoral catala
Blanqueig de capitals;La Vanguardia;operacion trafico drogas blanqueo capitales catalunya losmossosd esquadraestan llevando cabo hora manana unagranoperacioncontra unaorganizacioncriminaldedicada altraficodedrogas cocaina elblanqueodecapitalesque desarrolla diversas poblaciones catalunya mahon isla menorca informado operacion cargo division investigacion criminal dic colaboracion europol iniciado martes practicando decena entradas registros
Robatori amb violència i/o intimidació;Ara;dura agressio dona robar bossa metro barcelonanit divendres estacio metro navas barcelona passen minuts onze home caputxa sorpren esquena passatgera punt validar bitllet robar bolso resisteix deixar bossa lladre arrossega terra violencia donar puntades peu moment sembla treu objecte aconseguir trencar corretja bossa fugir boti imatges enregistrar divendres corren xarxes socials informat transports metropolitans barcelona tmb investigant robatori violent empresa assegura col laborant aclarir circumstancies fets fonts confirmat victima presentat denuncia investigant cas
Homicidi per imprudència;Ara;detenen conductor avancat linia continua causat accident mortal motorista selva gironaels detingut imprudencia greu homicidi imprudent conductor cotxes implicats accident mortal motorista massanes selva fets succeit volts hores diumenge quilometre gi zona hostal roure vehicle circulava sentit hostalric fet avancament prohibit linia continua direccio contraria circulava motocicleta vist obligada esquivar turisme evitar col lisio frontal sortit via motorista caigut terraple mort causa accident lloc arribat sistema emergencies mediques sem pogut res salvar vida agents transit detingut conductor cotxe home anys vei girona negatiu proves alcohol drogues
Assassinat Consumat;El Periódico;acusada crim urbana tenia mobil victima elsmossos esquadravan localitzar telefon mobildel local pedro rodriguez armari novia companya rosa peral principalsospitosa assassinati dies mostrat missatges suposadament rebut victima realitat mort segons testimoni sergent cos
Agressions sexuals i Abusos sexuals;El Periódico;detingut barcelona presumpte violador menor girona detingut barcelona jove acusat agressio sexual ocorreguda santa coloma farners girona
Homicidi Consumat;El Periódico;detingut porter bar homicidi figueres handetingutelporter bar musical toc figueres girona presumpta relacio lamortahir nit home enfrontar porta local despres tires got cara deixar entrar perque borratxo
Lesions;El Periódico;investiguen apunyalament igualada home ingressat enestat greua hospital bellvitgedespres apunyalat ple carrer aigualada anoia diumenge febrer investiguen agressio descarten tracti unaagressio multiple
Contra els recursos naturals i el medi ambient;Ara;mort desenes estornells prop petroquimica tarragona barcelonala imatge corregut polvora traves xarxes socials desenes ocells morts prop poligon sud petroquimica tarragona numero emergencies rebre trucada avis situacio diumenge cinc tarda posteriorment rebre parell trucades mes lloc tambe havien rebut imatges whatsapp preguntaven avisaven percebien olor estranya producte quimic similar deien ningu sabia pogut passar estornells centenar cadavers reposaven carretera efectius agents rurals desplacat lloc fets agafar mostres estornells afectats aclarir causes mort segons fonts cos primeres observacions porten descartar qualsevol dany quimic perque ocells morts zona focalitzada mes fauna afectada prop
Contra la llibertat sexual;El Periódico;desmantellada xarxa prostitucio amposta lapolicia nacionalha desmantellat aamposta tarragona pis ondonesde nacionalitat paraguaiana erenexplotades sexualment regentat homes espanyols ciutadana
Assassinat Consumat;El Periódico;samarreta sang rosa peral tenia adn victima tresperits cientifica esquadrahan revelat samarreta sang trobada casa guardia urbana barcelonarosa peral principal sospitosa assassinat novio pedro rodriguez juntament amant albert lopez contenia adn victima
Contra exercici drets fonamentals i llibertats públiques;Ara;querella fake news menors estrangers barcelona envio video centre educatiu emigrants menors edat entren il legalment espanya prego difonguis perque espanya assabenti vegada agraeixen acollim missatge tuit publicar juny passat acompanyat video minut mig pot veure interior aula centre educatiu diversos alumnes criden llancen papers professora tambe tomben taules cadires entremig crits rialles burla imatges espanya brasil aixo fiscalia especialitzada delictes odi barcelona presentat querella espanya fake news denunciat dona difondre video missatge atacava migrants menors edat acompanyats coneguts amenes cas comencar denuncia sindica greuges barcelona finals juny rebut video investigat difonia xarxes socials whatsapp juliol portar video fiscalia perque considerava imatges text anava publicacio podia fomentar promocionar discriminacio odi col lectiu assenyalava podia tractar delicte odi associat interessadament migrants menors violencia aules fiscal cap barcelona tirar endavant denuncia delegar servei delictes odi demanar unitat investigacio radicalismes xarxa assumis cas identifiques autor
Contra la salut pública;Ara;cop doping gimnas perillos consum enganxa joves mileuristes barcelonaun repartidor porta paquet casa caixa nom cap habitants domicili nom cap vei obrir paquet conte petites capses aparenca medicament hormones creixement venen bulgaria tenen euros mercat il legal compren gairebe doble quantitat persona rebre paquet juliol passat avisar obrir investigacio destapar organitzacio dedicada traficar distribuir falsificar substancies dopants il legals espanya cop mes buscades anat perseguir consumidors productes tenen clar perfils darrere joves cop mes focalitzats gimnas amoinats fisic majoria tambe culturistes persones desenvolupen musculatura hipertrofia dedicats competicio professional perfil joves acostuma mileuristes feina precaria prefereixen viure casa pares gastar euros mes tractament guanyar muscul aixo gimnas dieta sagrats expliquen investigadors apunten cara estiu creixen adeptes efecte anomenada operacio biquini
Contra la salut pública;El Periódico;macrocop barcelona venda substancies dopants gimnasos desmantellat organitzacio criminal dedicada falsificacio distribucio medicaments il legals espanya destinacions ambit esportiu distribuides engimnasos tracta operacio mes important dut terme moment catalana ambit resultat sonset persones arrestades cinc nacionalitat espanyola marroquina pakistanesa confiscacio mes milions dosi mes milio euros
Agressions sexuals i Abusos sexuals;Ara;preso homes violat grup dona cotxe gravat barcelonanova violacio grup passar dissabte sis matinada cotxe aparcat carrer casanova barcelona homes agredir sexualment dona interior vehicle victima recorda nit coincidit almenys discoteca proxima detenir despres rebre alerta podia produint violacio cotxe vianant veure dona semiinconscient homes agredien sexualment feien fotos gravaven mobils aixo jutge enviat preso delicte agressio sexual grup tambe revelacio secrets imatges videos patrulla arribar carrer casanova tocar diagonal homes cotxe continuava interior dona segons violacio passar vehicle creu homes haurien actuat torns investigacio basa testimoni vianant recorda victima imatges videos gravar agressors veure agents detinguts anys diferents nacionalitats negar declarar comissaria jutjat fet
Furt;Ara;onada robatoris manecs portal sant antoni poble sec barcelonadespres delrobatori lletres granja vendrell quefinalment recuperat barcelona produit fenomen robatori manecs portals entrada blocs aixi detectat comerciants barri sant antoni organitzats grup whatsapp estiu quanvan patir onada robatoris nocturns establimentsque gracies reforc policial mes controlada segons afectats grup serveix posar guardia delictes detectat nova practica robatoris manetes portal edificis investiguen passejada carrers tamarit avinguda mistral permet veure portes poms lladres intenten vendre llauto manecs mercat negre segons plataforma santantoni vigila nit diumenge febrer desapareixer vintena carrers sant antoni poble sec comerciants tambe tenen contactes anat tenint constancia anat desapareixent mes explicat portaveus plataforma degoteig casos lladres palanca eina extreuen manetes marxen boti sospiten majoria casos descargolen
Assassinat Consumat;El Periódico;audiencia palmas estudia mort marit angie compleixcondemna anysa preso brians barcelona assassinats mes perversos conegut catalunya crim perfecte perruca dni mari angeles molina alies angie passar amigaana paezper firmar nomseu prestecs assegurances vida gairebe milio euros barcelona despres febrer asfixiaramb bossa plastic pis llogat hores barri gracia iva simular crim sexual pagar gigolos perque ejaculessin recipient despres introduir semen cos vida amiga dies segons sabut periodico fonts cas audiencia palmas investiga angie peruna mort estranya marit juan antonio alvarez litben ocorreguda canaries
Robatori amb força;La Vanguardia;desarticulan grupo criminal dedicado robos domicilios catalunya desarticulado ungrupo criminaldedicado losrobosendomiciliosde todacatalunya detenidos prision actuaban noche asegurarse casa vacia romper puertas ventanas llevaban dinero joyas aparatos electronicos banda actuaba territorio normalmente casas situadas zonas aisladas informado cuerpo policial nota organizacion itinerante formada personas rastreaban busca poblaciones alejadas zonas pobladas evitar patrullas policiales
Robatori amb força interior vehicle;El Periódico;cau banda lladres turistes ap detingut grup persones robavaobjectes dinersals cotxesde turistes arees servei ap informat catalana comunicat dissabte
Lesions;El Periódico;detingut lladre trencar ampolla cap empleat elsmossos esquadrahan detingut presumptelladreque trencar ampolla vi cap empleat botiga tarragona robar euros segons informa catalana
Atemptat a autoritat, agents de l'autoritat i resistència i desobediència;Ara;jutge envia preso home saltar confinament tossir clients supermercat reus barcelonaprimera mesura judicial catalunya saltar confinament jutge enviat preventivament preso home sortir carrer diverses ocasions justificacio setmana passada acabar entrant supermercat reus tossint escopint clients treballadors establiment home constaven cinquantena antecedents policials resistir detencio agents virus afecta afectara perque alcohol porto mata hauria cridat policies segons recull resolucio jutge home anys responsabilitzen delicte resistencia desobediencia atemptat agents autoritat denunciat nou ocasions dimecres passat saltar confinament protagonitzar diversos incidents agents interceptar diversos cops hores diferents carrer ample reus centre tarragona carretera falset priorat
Amenaces;El Periódico;amenaca detingut mira pare fot dues hosties flipes havien vist diverses vegades saltant alarma policies municipals decastellar valles barcelona interceptar joveconduint motopel poble escena gravada video reflecteix tensio augmentant agents home dona porten mascaretes proteccio demana reforcos noi principi treu casc
Estafes;La Vanguardia;incautan litros falso gel desinfectante ladivision investigacion criminal esquadraha inmovilizado incautado litros producto limpieza vendia enganosa comogel hidroalcoholico ciudadano aviso agentes comisaria marzo enterrassa detectar establecimiento ciudad comercializando gel hidroalcoholico etiqueta contradictoria contenido
Lesions;El Periódico;greu dona apunyalada marit reus unadonava resultarferida gravetati ingressada pronostic reservat hospital joan xxiii tarragona despres serapunyaladaareusamb ganivet seumarit detingut guardia urbana localitat
Assassinat Consumat;Ara;detingut assassinats serie persones sostre barcelona barcelonaquatre assassinats barcelona dies declarar alarma coronavirus victimes quatre homes vivien carrer joves anys mes rebre cops cap objectes contundents havien obert investigacio estudiar relacio assassinats serie persones sostre ciutat passat radi menys quilometre autor acostumava atacar persones dormien ultim crim comes nit eixample metres anteriors acabat detencio home anys planes sant cugat valles segons fonts proximes investigacio clar responsable morts treballa comprovar tambe autor cas falta actuacio element connecta quatre assassinats violencia utilitzava autor persones sostre desmesurada gratuita segons assegurat responsable investigacio intendent joan carles granja deixava cap mena defensa victimes afegit testimoni vist crim dilluns nit cruilla carrers sardenya rossello alerta permes activar dispositiu policial planificat atrapar autor assassinats detingut minuts despres matinada planes vivia caravana aparcada carrer estavem protegint vides humanes col lectiu invisible vulnerable apuntat granja remarcat agents treballaven contrarellotge trobar responsable
Assassinat Consumat;Ara;convivint assassi serie sant cugat vallesla maria botiguera cooperativa santa rosalia barri planes sant cugat feia cert temps agafat thiago jove anys detingut dilluns matinada caravana vivia metres establiment tornatdespres assassinats eixample barcelonapels investiga aixo parlava sol cap sempre reaccionava educacio deia deixes ensumar alla feia cas feia educadament explica maria setmanes aixo canviar entrar destral motxilla veia manec trucar dir tallar ossos preocupes treure indignar quedar paranoica afegeix felix client anys remata paranoia filla rita anys llanca pregunta facil resposta sigui convivint assassi serie botiguera explica nomes comprava cerveses regalar miqueta pernil veins pregunten menjava aconseguia mes menys clients cua porta botiga nomes dues persones entrar vegada mantenir distancia sanitaria coneixien vista thiago entrar robar pis vei robar bicicleta fotre bona pallissa obrir cap robat acabar hospital explica jose veure ahir ultim cop hores cometre ultim assassinat controls pogut tornar vegades pregunta casa entrar despres preguntar bordaven gaire gossos dir esclar bordarien intentava colar casa completa consta cap veins robats haguessin posat denuncia
Assassinat Consumat;Ara;preso detingut assassinats persones sostre barcelona barcelonael detingut assassinats persones sostre barcelona ingressara preso jutjat guardia decretat preso preventiva fianca home anys esquadravan detenir dimarts matinadaa planes sant cugat valles jutge responsable morts quart cas sospita passar fet estudien implicacio home quart crim tambe cinque entrada havien descartat continuen investigant detingut passat mati disposicio jutjat atribuit crims videoconferencia comissaria home respost interrogatori judicial explicacio raonable passat limitat negar fets segons jutge despres decidit enviar preso delictes assassinat imatges cameres videovigilancia presencia presumpte autor lloc morts franges horaries lloc elmodus operandisimilar victimes dormien carrer eixample indicis jutjat apunten detingut atacava sorpresa violenta possibilitats defensa explica jutge afegeix deixava arma utilitzat assassinar homes sostre escena crim feia servir objectes contundents barra ferro casos pal tercer detingutvivia caravana aparcada carrer planes trobat peces vestir coincideixen roba portava moment fet gorra guants dits segons imatges enregistrar
Assassinat Consumat;Ara;detingut home assassinat parella corbera llobregat barcelonaun home anys quedat detingut assassinat parella corbera llobregat setmana denunciar desaparicio dona dimecres tarda trobar cadaver riera corbera despres detenir home presumpte autor crim assassinat considerat violencia masclista catalunya confinament setena mort violenta declarar alarma produitquatre assassinats persones sostre barcelona homicidi sant quirze matar home pont vilomara matar dona setmana passada denunciar desaparicio dona trobada morta corbera unitat central persones desaparegudes comencar investigar cas sospita risc poguessin matat persona tambe activar recerca localitzar ahir tarda veure cos vida riera corbera cadaver corresponia dona buscaven tenia signes sigut victima mort violenta portaven setmana investigacio acabar detenint parella dona responsable assassinat
Homicidi Consumat;Ara;llibertat home arrestat desaparicio parella apareixer morta corbera llobregat barcelonagir cas dona desapareguda corbera llobregat apareixer morta riera municipi detenir dijous parella home anys presumpta relacio cas divendres deixat llibertat carrecs espera jutge citi declarar delegacio govern espanyol conselleria presidencia comptabilitzar cas crim masclista fet govern espanyol comptabilitzar dinovena victima violencia masclista delegada govern espanyol violencia genere victoria rosell assegurar arrestat tenia ordre allunyament confessat crim
Homicidi Consumat;Ara;detingut home matar pare sabadell barcelonapresumpte parricidi sabadell detingut home anys matar suposadament pare domicili convivien municipi investigadors intenten aclarir circumstancies crim agents rebut avis incident domicili sabadell vivien pare fill despres cinc tarda arribat habitatge trobat pare malferit terra dotacio sistema emergencies mediques ates pogut res salvar vida
Assassinat Consumat;Ara;violencia persones sostre menys puntual pensem barcelonaen dies ple confinament almenys cinc persones sostre morir barcelona quatre assassinades setmana esquadravan detenir home araesta empresonat unitat psiquiatricade brians crims morts gent viu carrer violentes tornen invisibles passa agressions fisiques verbals reben violencia persones sostre menys puntual pensem lamenta advocada responsable equip juridic arrels fundacio bea fernandez volen presentar acusacio popular causes judicials obert assassinats ultimes setmanes visibilitzar violencia seria vegada arrels exerceix acusacio popular investigacio crim persona sostre mesos assassinat dona anys vivia carrer trobar mortal agost passat remolc camioal passeig tunis barcelona detingut ningu crim fet costa obtenir indicis proves cas investigacio aturada passa assassinat caracteristiques produir alarma home anys vivia carrer atribueixen moment empresonat crims persones sostrede ultim mes morir homes tenien anys
Lesions;El Periódico;doctora puta treballadora denuncia agressio unatreballadorad unhotel medicalitzat barcelonaha denunciatdos esquadraper delicte detencio il legal lesions despres presumptament arrestada abadalonaquan tornava feina hotel catalonia plaza ple confinament seragredida llaviper agents
Homicidi Consumat;Ara;detingut home matar mare santa coloma gramenet despres incendi pis barcelonaels detingut home matar mare santa coloma gramenet despres hagi produit incendi avui hora mati pis presumpte autor anys nacionalitat espanyola indicis apunten foc interior domicili hauria provocat ell segons investigacio fill mare vivien habitatge bombers entrat apagar flames quarts nou mati trobat cos vida dona home resultat afectat incendi atrinxerat habitatge fonts coneixedores situacio expliquen fill nervios feia cas ordres home situat balco pis hagut intervenir agents antiavalots area regional recursos operatius arro tambe bombers desplacat extingir foc aproximat part balco atrinxerat autoescala camions fet pistola electrica taser reduir vegada investigadors recollit proves assenyalen fill responsable assassinat mare detingut
Assassinat Consumat;Ara;detenen badalona home presumptament matat parella esplugues llobregat barcelonaels detingut badalona home presumptament matat dissabte parella domicili compartien esplugues llobregat llobregat sospitos trascendit cap informacio llevat anys fugit metro arribessin agents segons explicael periodico victima dona anys veina viladecans traslladat recentment viure ciutat veina parella unic arrestat fets rebut avis set mati alertant dona morta interior pis numero carrer menta barri vidalet agents arribat localitzat cadaver dona evidents senyals violencia crim hauria comes ganivet despres discussio segons informa efe tribunal superior justicia catalunya confirmat comunicat naturalesa masclista crim hipotesi principal investigacio dona assassinada parella mes fugat pis segons informat fonts judicials mitja tarda localitzat home badalona mes quilometres lloc fets quedat detingut principal sospitos crim divisio investigacio criminal fet carrec investigacio aclarir fets
Rebel·lió;La Vanguardia;fiscalia pide anos prision trapero proces fiscalia anunciado manana solicita anos prision josep lluis trapero papel desafio independentista catalan teniente fiscal miguel angel carballo comunicado rebaja peticion inicial anos prision delito rebelion sedicion presenta alternativa desobediencia aparejada pena inhabilitacion concretamente pide ano meses inhabilitacion cargo publico anunciado sesion juicio celebra audiencia nacional reanudado manana suspension decreto alarma pandemia coronavirus fiscal pide pena acusados inmediatos superiores politicos director pere soler interior cesar puig subordinada teresa laplana solicita anos carcel delito sedicion caso alternativa desobediencia seria inhabilitacion ano
Organitzacions i grups criminals;Ara;desarticulen organitzacio dedicada trafic persones mes victimes barcelonaels guardia civil desarticulat organitzacio internacional dedicada trafic persones identificat mes victimes dones embarassades menors abandonades podien pagar quantitat exigida explotadors victimes provenien paisos africans captades origen treballar irregular precari traslladava espanya distribuien belgica franca alemanya exigint pagament euros transcurs operacio comencar hagut detencions fet escorcolls demarcacions burgos lleida barcelona aixi portugal alemanya detencio paisos baixos investigadors estimen organitzacio obtenir beneficis mig milio euros part organitzacio establerta formada principalment persones subsaharianes residien demarcacio lleida disposaven pis carrec cap organitzacio localitat rossello segria tenien tambe segon immoble mataro vivien resta membres organitzacio recull acn
Desordres públics;Ara;llibertat provisional detinguts atac pis joves immigrants premia mar barcelonael jutjat instruccio mataro funcions guardia deixat llibertat provisional detinguts perl atac diumenge nit pis joves immigrants premia mar traslladats ubicacio seguretat detinguts tenen anys veins premia mataro ls acusa delictes atemptats resistencia desobediencia agents autoritat desordres publics danys lesions delicte odi discriminacio tribunal superior justicia catalunya informat detinguts contestat preguntes parts quedat llibertat provisional disposicio jutjat sempre siguin requerits fonts judicials expliquen causa oberta delictes desordres publics atemptat desobediencia agents autoritat descarten noves detencions havien informat dimarts detingut presumptes autors incidents obrir investigacio dilluns permetre identificar detenir fets remunten nit diumenge grup veins organitzats atacar pedres pis ocupat vivien joves migrants denunciar traves xarxes unitat feixisme racisme ucfr compartir imatges veia llancament objectes sentien insults fonts confirmar nois resultar ferit lleu atac traslladats emplacament seguretat
Desordres públics;Ara;ataquen pedres pis joves immigrants premia mar premia marun grup veins organitzats atacar pedres nit diumenge pis ocupat premia mar maresme vivien joves migrants denunciar traves xarxes unitat feixisme racisme ucfr compartir imatges veia llancament objectes sentien insults fonts confirmar nois resultar ferit lleu atac traslladats emplacament seguretat veins atacaven edifici tambe encarar agents causar destrosses mobiliari urba diverses carregues dispersar concentrats cinc agents resultar ferits lleus informat dimarts fet dues detencions relacionades fets descarten mes detinguts tenen anys nacionalitat espanyola veins premia mataro ls acusa delictes atemptats resistencia desobediencia agents autoritat desordres publics danys lesions delicte odi discriminacio obrir investigacio dilluns permetre identificar detenir presumptes autors incidents investigacio continua oberta descarten noves detencions
Estafes;El Periódico;deu detinguts estafar euros banca online sim falses lapolicia nacional detingut personesen operacio xarxa decrim cibernetic suposadament estafar euros mes centenar victimes espanya aconseguir duplicar targeta sim mobils accedir banca linia
Contra la salut pública;La Vanguardia;desarticulada banda cultivaba marihuana naves industriales handesarticulado grupo cultivaba marihuanaen naves industriales repartidas catalunya handecomisado droga superior millon eurosy detenido personas ingresado prision catalana informado sabado investigacion grupo inicio quincena mes febrero localizar plantacion marihuana nave industrial castellvi rosanes barcelona
Agressions sexuals i Abusos sexuals;La Vanguardia;detenido cambrils presunta agresion sexual verbena san juan hombre detenido miercoles encambrils tarragona presunto delito deagresion sexuala mujer transcurso fiesta privada celebrada domicilio localidad detenido conocia victima hombre anos edad nacionalidad espanola informado efe
Homicidi Consumat;Ara;investiguen possible mort violenta barcelona divendres nit rebut avis home greument ferit baralla passeig lluis companys barcelona barri ciutat vella servei emergencies mediques arribar lloc fets salvar vida certificar mort agents divisio investigacio criminal regio metropolitana barcelona fet carrec investigacio aclarir circumstancies mort
Contra la salut pública;La Vanguardia;marcha dispositivo trafico marihuana blanqueo catalunya puesto marcha viernes undispositivo trafico marihuanay elblanqueo capitalesencatalunya accion desarrolla manana puntos territorio catalan cuerpo policial explicado traves redes sociales realizando veintena entradas municipios catalanes
Homicidi Temptativa;Ara;mare filla hospitalitzades cremades provocades home dona denunciat barcelonanou cas violencia masclista home atacar ahir migdia dona filla anys sosa caustica via publica sant feliu guixols segons informat tractava desconegut dona denunciat feia mes delicte coaccions moment jutge portava cas acord criteri fiscalia desestimar ordre proteccio victima perque donaven requisits explicat fonts tribunal superior justicia catalunya tsjc mare filla ingressar hospital vall hebron barcelona cremades provocades producte jutjat sant feliu tambe porta casos violencia masclista ordenat protegir mare nena emes ordre crida home fets lloc dilluns carrer valencia localitat cap quarts migdia agressor segons acn mantingut relacio afectiva dona ruixar producte corrosiu atacar ple carrer llum despres home anys fugir dona cremades greus segons detallat centre hospitalari europa press llavi geniva cornia ull dret punt perdre ull nena lesions llavi ull intensitat
Homicidi Consumat;El Periódico;detinguts germans matar home baralla barcelona detingut dosgermans anys acusats dematar home juny matinada barallaocorreguda ple carrer districte deciutat vella barcelona
