Título,Enlace,Fecha,Primeros_Párrafos,Topic
Sindicatos de Mossos piden ampliar su plantilla de tráfico tras el aumento de accidentes,https://www.larazon.es/cataluna/barcelona/sindicatos-mossos-piden-ampliar-plantilla-trafico-aumento-accidentes_2025030567c845f89ce7140001a17398.html,2025-03-05,"Consideran que las dotaciones actuales son "" absolutamente insuficientes "" Los sindicatos de Mossos d'Esquadra SAP-FEPOL y SME-FEPOL piden una ampliación de la plantilla en la especialización de tráfico después del aumento de accidentes en las carreteras catalanas en el último año, ya que consideran que las dotaciones actuales son "" absolutamente insuficientes "". En un comunicado de este miércoles, las dos organizaciones de trabajadores de la policía catalana han catalogado de ""absolutamente insuficientes"" las dotaciones actuales de especialistas de tráfico en Cataluña, y aún más teniendo en cuenta que el índice de siniestralidad es "" muy elevado en comparación con años anteriores "", apuntan.",mossosdesquadra
Seis detenidos de una banda que robaba en empresas del sector del metal en Tarragona,https://www.larazon.es/cataluna/barcelona/seis-detenidos-banda-que-robaba-empresas-sector-metal-tarragona_2025030567c83a01bd6bf00001f562e8.html,2025-03-05,"Los Mossos d'Esquadra han detenido en L'Hospitalet de Llobregat (Barcelona) a seis hombres, de entre 19 y 40 años, que formaban parte de una banda especializada en robos en empresas del sector del metal en la comarca del Baix Camp (Tarragona) y que vendía el material sustraído en el área metropolitana de Barcelona. Según la policía autonómica, a los arrestados se les atribuyen tres robos con fuerza en empresas de los municipios tarraconenses de Riudoms, Reus y La Selva del Camp. El primer delito tuvo lugar el 15 de enero, cuando los delincuentes accedieron al almacén de una finca en Riudoms y se llevaron material de obra. El segundo robo tuvo lugar en una nave industrial de Reus, donde hicieron un butrón en la pared para entrar con un vehículo y cargar 10 toneladas de piezas metálicas valoradas en 267.000 euros. Finalmente, el 6 de febrero sustrajeron con una furgoneta 300 kilos de chatarra con un valor de 500 euros en una empresa de La Selva del Camp. Los seis hombres, que acumulan 25 antecedentes policiales , fueron detenidos el 27 de febrero en L'Hospitalet de Llobregat y pasaron el sábado a disposición del juez de instrucción en funciones de guardia de ese municipio.",mossosdesquadra
Detenidos cuatro hombres por el crimen de un empresario hallado atado en su casa de Martorell,https://www.larazon.es/cataluna/barcelona/detenidos-cuatro-hombres-crimen-empresario-hallado-atado-casa-martorell_2025030567c83867bd6bf00001f55ff2.html,2025-03-05,"El pasado 20 de noviembre un empresario de metales fue encontrado muerto en su casa de Martorell con signos de violencia. Los Mossos d’Esquadra han detenido a cuatro hombres de entre 27 y 29 años por su presunta vinculación con la muerte del empresario barcelonés, a quien hallaron en el aparcamiento de su vivienda atado pero sin muestras de heridas por armas de fuego. La víctima, de 74 años, era el propietario de Ferralles Martorell, una empresa dedicada a la compra y venta de metales situada en el polígono industrial del Congost de esta localidad. El dueño era muy conocido en Martorell, pues patrocinaba al equipo de fútbol del municipio barcelonés, el C.F. Martorell. El cadáver fue localizado cuando un vecino llamó al fallecido para avisarle de que tenía el coche mal aparcado. Cuando éste no contestaba, decidió avisar a la hija del empresario, quien al llegar a la casa de su padre, una torre en el barrio de Camí Fondo, a 200 metros de distancia de una comisaría de los Mossos, se encontró al cuerpo sin vida de su padre en el suelo, bocabajo y maniatado .",Mossos d'Esquadra
"Una ""rave"" ilegal en el metro de Barcelona termina con 15 identificados y destrozos",https://www.larazon.es/cataluna/barcelona/mossos-desquadra-identifican-15-personas-que-participaron-rave-ilegal-metro-barcelona_20250130679b6066797cbb00013af6ed.html,2025-01-30,"La madrugada del pasado sábado al domingo, una fiesta ilegal llamada 'Subway Party' tuvo lugar en el metro de Barcelona, causando interrupciones en las líneas L1 y L2 y diversos actos vandálicos. Los Mossos d'Esquadra identificaron a una quincena de personas en el parque de las Tres Xemeneies, en la avenida del Paral·lel, en el marco de esta ""rave"" clandestina. Las autoridades recibieron el aviso alrededor de la 1:30 de la madrugada, alertados por la presencia de un grupo de individuos en el transporte público. Según fuentes policiales, los participantes de la fiesta están acusados de realizar pintadas y de lanzar un extintor a las vías del metro, entre otros incidentes. La situación obligó a Transports Metropolitans de Barcelona (TMB) a detener temporalmente la circulación de los trenes en las estaciones afectadas. Desde TMB han calificado los hechos como ""actos incívicos"" y han confirmado que las estaciones de Universitat y Sant Antoni, de la línea L2, fueron escenario de múltiples pintadas en los trenes y otras acciones vandálicas.",Sucesos
La Guardia Urbana inicia el desalojo de la Antiga Escola Massana okupada en Barcelona,https://www.larazon.es/cataluna/barcelona/guardia-urbana-inicia-desalojo-antiga-escola-massana-okupada-barcelona_202501286798ba4e0b2ad20001aa28c5.html,2025-01-28,"La Guardia Urbana de Barcelona, con la colaboración de los Mossos d'Esquadra, ha puesto en marcha a primera hora de esta mañana un dispositivo para recuperar el edificio conocido como la Antiga Escola Massana, okupado desde el año 2020 en el céntrico barrio del Raval. El desalojo ha sido autorizado por el Juzgado Contencioso-Administrativo número 17 de la capital catalana, según han informado fuentes municipales. Por su parte, los ocupantes, que consideran el desalojo 'ilegal', han hecho un llamamiento por las redes sociales a acudir al edificio para impedirlo.",Okupas
Dos policías fuera de servicio rescatan a su vecino de un incendio en Terrassa,https://www.larazon.es/cataluna/barcelona/dos-policias-fuera-servicio-rescatan-uno-sus-vecinos-incendio-terrassa_2025010167750752af21750001050bb5.html,2025-01-01,"A ciegas y con solo la tenue luz de la linterna de sus teléfonos móviles. Así fue como una pareja de agentes de la Policía Nacional salvaron la vida de uno de sus vecinos que se vio atrapado entre el humo provocado por un fuego en su vivienda. Los funcionarios consiguieron sacar del inmueble a este hombre que estaba totalmente desorientado y trasladarle hasta un lugar seguro. Las llamas provocaron graves daños en la cocina del piso, según las fotos a las que ha tenido acceso LA RAZÓN. La intervención humanitaria de estos agentes se remonta al 12 de diciembre a las 21:30 horas cuando la pareja se encontraba descansando en su domicilio en la localidad de Terrassa. Uno de ellos se percató de un fuerte olor a humo dentro de la casa y abrió la ventana, que da al patio interior del domicilio. Así fue como observó una gran cantidad de humo negro. Los policías salieron al rellano del edificio para intentar detectar el origen del mismo. De esta forma comprobaron que el arranque venía del ático 3 ya que salía una nube por las rendijas de la puerta. En un primer momento llamaron al 112 para que se desplazaran hasta la zona los bomberos y los indicativos sanitarios por las posibles víctimas que pudiera haber en el interior de la casa.",Sucesos
Los Mossos estrenan su primera comisaría en el Aeropuerto de Barcelona,https://www.larazon.es/cataluna/barcelona/mossos-estrenan-primera-comisaria-aeropuerto-barcelona_2024072466a0e033b40b9c00018563bc.html,2024-07-24,"Los Mossos d’Esquadra estrenan su primera comisaría en el Aeropuerto Josep Tarradellas Barcelona - El Prat con la visita del conseller de Interior, Joan Ignasi Elena; el director general de la Policía, Pere Ferrer, y el comisario jefe, Eduard Sallent. La cesión del uso de este edificio por parte de AENA ofrece un espacio propio para los Mossos, desplegados en el aeropuerto desde el 1 de noviembre de 2016, con unas instalaciones de 4.250 m2 construidos con espacios de trabajo, lavabos, vestuarios, archivo, sala técnica, almacenes y aparcamientos. El pasado 18 de abril ya se hizo efectivo el traslado del Área Regional de Seguridad Aeroportuaria (ARSA) a este nuevo espacio y, en una segunda fase, en mayo, se trasladaron los efectivos del Área Regional de Recursos Operativos (ARRO) y de la Unidad Técnica de Seguridad Aérea.",Mossos d'Esquadra
Detenido en Barcelona un extrabajador de una empresa por robar la caja fuerte,https://www.larazon.es/cataluna/barcelona/detenido-barcelona-extrabajador-empresa-robar-caja-fuerte_20240719669a2d0946f972000134bf67.html,2024-07-19,"Los Mossos d'Esquadra detuvieron el pasado 15 de julio en Barcelona a un hombre de 50 años acusado de robar una caja fuerte de una empresa en la que había trabajado apenas una semana. Según informan este viernes los Mossos d'Esquadra, fue una llamada al 112 la que puso a los investigadores sobre la pista de la autoría de este robo con fuerza. Este testigo, que oyó un fuerte golpe en el interior de la empresa, facilitó a los agentes una descripción sobre un vehículo que había huido del lugar de los hechos, lo que permitió identificar al extrabajador.","robos, Sucesos"
Investigan a cinco trabajadores del cementerio de Montjuïc por robar oro y joyas de las tumbas,https://www.larazon.es/cataluna/barcelona/investigan-cinco-trabajadores-cementerio-montjuic-profanacion-tumbas_20240522664daa872e4fc400015edfce.html,2024-05-22,"Cinco personas han sido detenidas por los Mossos d'Esquadra acusados de profanar tumbas en el Cementerio de Montjuïc . La banda, formada por empleados del propio cementerio, habría saqueado al menos 162 tumbas durante el verano del año pasado. La desarticulación de esta banda se logró cuando uno de ellos intentó vender una gran cantidad de dientes de oro, anillos y pendientes en una tienda de compraventa, procedentes de las tumbas. Fue Cementerios de Barcelona (CBSA), la empresa municipal gestora, quien presentó una querella contra cinco sepultureros. Entre ellos se encuentran una mujer que ocupa el puesto de auxiliar, unos hermanos gemelos y el hombre que intentó vender las joyas en una tienda dedicada a la compra de oro.",Sucesos
Este es el 'kit de supervivencia' que te dan si te roban en la playa de Barcelona,https://www.larazon.es/cataluna/barcelona/este-kit-supervivencia-que-dan-roban-playa-barcelona_20240507663a35eb8e66020001cdbf68.html,2024-05-07,"Ser víctima de un robo o hurto es siempre una situación angustiosa, pero aún lo es más si se produce en la playa y la víctima se queda sin ropa y sin pertenencias personales. ¿Qué hacer en estos casos? ¿Cómo volver a casa si no tenemos dinero? ¿Qué hacemos para conseguir una indumentaria? La Guardia Urbana hace años que pone un remedio paliativo a disposición de las víctimas: un lote con ropa de repuesto básica y tiques de transporte público desechables. Una de las medidas que tienen es este 'kit de supervivencia', que se trata de una bolsa con una camiseta blanca, un pantalón corto de color negro y unas chancletas de plástico . Aparte de la ropa de repuesto, la Guardia Urbana también dispone de títulos de transporte público desechables para facilitar el regreso al domicilio, en caso de no disponer de dinero. La bolsa de recambio se puede conseguir en los dos módulos que tiene la Guàrdia Urbana en la playa de la Barceloneta y el espigón de la playa de Bogatell.",robos
El centro de yoga que hacía contrabando con cachorros de perro en Barcelona,https://www.larazon.es/cataluna/barcelona/centro-yoga-que-contrabandeaba-cachorros-perro-barcelona_2024040966151eb95e1b1f000137ba59.html,2024-04-09,"El ""Puppy Yoga"" es una de las últimas tendencias virales en redes sociales. Se trata de practicar yoga con la posibilidad de conocer y jugar con perros que estén en venta. Sin embargo, esta práctica se hacía de manera fraudulenta en un centro de Barcelona, el cual tenía un acuerdo privado de colaboración con un establecimiento de venta de animales que les facilitaba los cachorros, que se utilizaban ""para actividades comerciales ilegales y de forma irregular"". Fue en un local de la avenida Meridiana llamado ""Kitten & Puppy Yoga Barcelona"", que abrió el pasado diciembre presumiendo de ser el ""primer puppy yoga de Barcelona"". El estudio aseguraba que trabajaba con ""asociaciones y granjas familiares que se encargan de los cachorros"" y que su meta era fomentar la adopción. La dinámica del local consistía en mostrar los cachorros de perros durante las sesiones de yoga para que los interesados hiciesen sus pedidos de compra , un sistema de comercialización de animales ""totalmente"" ilegal, ha asegurado el ayuntamiento.",Sucesos
Parricidio en Barcelona: un hombre mata a sus padres y después se suicida,https://www.larazon.es/cataluna/barcelona/investigan-aparicion-tres-cuerpos-signos-violencia-barcelona_2024031565f42b82d3310300015143d6.html,2024-03-15,"Los Mossos d'Esquadra investigan la muerte de tres personas , todos ellos miembros de la misma familia, en Sant Martí (Barcelona). Ha aparecido una mujer en su domicilio sin vida, mientras que el padre y el hijo han sido hallados también muertos minutos después en el interior de un vehículo. El padre y el hijo estaban huyendo en coche del primer escenario del crimen. Según fuentes policiales, se trataría de un doble parricidio en el que el presunto homicida se habría suicidado después matar a su madre en su casa y huir en un coche con su padre. Los Mossos han encontrado el cuerpo de la mujer en la calle de Lope de Vega del barrio de Sant Martí y los del padre y el hijo en el municipio del Baix Llobregat.",Sucesos
Los Mossos investigan un tiroteo en el distrito de Nou Barris,https://www.larazon.es/cataluna/barcelona/mossos-investigan-tiroteo-distrito-nou-barris_20231227658c680ac46cc70001b4aae0.html,2023-12-27,"Los Mossos d'Esquadra están llevando a cabo una investigación tras un tiroteo sucedido la pasada madrugada en el distrito de Nou Barris ( Barcelona ), según informaron fuentes policiales a la Agència Catalana de Notícies (ACN) . El incidente tuvo lugar en el barrio de Can Peguera , donde los agentes recibieron una alerta de disparos contra la fachada de un edificio. Al llegar al lugar, se encontraron con restos de cartuchos de bala, pero afortunadamente, no hubo heridos. Actualmente, no hay ningún detenido en relación con el tiroteo . La Unitat d'Investigació de Nou Barris ha asumido el caso y está entrevistando a testigos con el objetivo de esclarecer los hechos y determinar las causas de lo sucedido.","Mossos d'Esquadra, Sucesos"
Una copistería en Barcelona sufre pintadas en su fachada por usar el castellano en un mensaje de WhatsApp,https://www.larazon.es/cataluna/barcelona/copisteria-barcelona-sufre-pintadas-fachada-usar-castellano-mensaje-whatsapp_20231226658b2cebf03b8e0001522a14.html,2023-12-26,"Una copistería aragonesa (Copistería Low Cost) con sede en Barcelona se ha convertido en el último blanco de amenazas y hostigamientos por parte de grupos separatistas catalanes . El conflicto surgió cuando un empleado solicitó a una clienta que realizara su consulta en castellano , ya que no comprendía totalmente el catalán. La usuaria optó por difundir una captura de pantalla de la conversación en redes sociales. La situación desencadenó una serie de amenazas en línea y, finalmente, culminó con pintadas en la fachada de la tienda que rezaban ""Boicot catalán"" . El encargado de la copistería explicó que el empleado en cuestión era rumano y tenía dificultades con el catalán , y admitió que podrían haber utilizado herramientas de traducción como Google para facilitar la comunicación. A pesar de la explicación y la disposición a corregir el malentendido, la copistería fue objeto de amenazas y pintadas .",Sucesos
Heridos seis Mossos d'Esquadra tras chocar su furgón con un taxi,https://www.larazon.es/cataluna/heridos-seis-mossos-desquadra-chocar-furgon-taxi_2023121865803d95d7b0c300019663f4.html,2023-12-18,"En un incidente ocurrido en el centro de Barcelona , seis agentes de los Mossos d'Esquadra resultaron heridos al colisionar su furgón antidisturbios con un taxi en la plaza Urquinaona. El accidente, que tuvo lugar a las ocho de la mañana del domingo, dejó a uno de los agentes con lesiones más significativas , aunque no consideradas graves . Este último fue trasladado al hospital para recibir atención médica , mientras que los demás recibieron el alta en el lugar después de ser atendidos por los servicios médicos, según fuentes municipales. La Guardia Urbana de Barcelona está llevando a cabo una investigación para determinar las causas del choque entre el vehículo de los antidisturbios y el taxi en el cruce de la plaza Urquinaona con la calle Roger de Llúria. Las circunstancias que llevaron a la colisión aún no han sido esclarecidas , y se espera que la investigación arroje luz sobre los detalles del incidente.","Mossos d'Esquadra, Sucesos"
Un niño de 12 años en estado crítico tras ser atropellado por una furgoneta en Barcelona,https://www.larazon.es/cataluna/barcelona/nino-12-anos-estado-critico-ser-atropellado-furgoneta-barcelona_2023121265788a03d670370001a66849.html,2023-12-12,"Este martes, una furgoneta ha atropellado a un menor de 12 años en el cruce entre el Passeig de Maragall y Carrer del Xiprer alrededor de las 14:15 horas. La víctima, cuya identidad no ha sido revelada, se encuentra hospitalizada en estado crítico , según información proporcionada por los servicios de emergencias. La rápida respuesta de la Guardia Urbana de Barcelona y los profesionales del Sistema d'Emergències Mèdiques (SEM) ha sido fundamental para brindar atención inmediata al menor afectado. Los equipos de emergencia han actuado con rapidez, trasladando al niño con urgencia al centro hospitalario más cercano . Se espera que en las próximas horas se proporcione información sobre la evolución del estado de salud del menor y se esclarezcan los detalles del incidente.",Sucesos
Desmantelada una red de matrimonios de conveniencia en Barcelona,https://www.larazon.es/cataluna/barcelona/desmantelada-red-matrimonios-conveniencia-barcelona_2023121165774dac62c50d0001ca5c6d.html,2023-12-11,"La Policía Nacional ha desarticulado en Barcelona una red especializada en la organización de matrimonios de conveniencia entre españoles y extranjeros en situación irregular. El líder de la organización, junto con otras nueve personas, ha sido detenido por su implicación en el favorecimiento de la inmigración irregular y falsedad documental . La investigación se centró en 18 solicitudes de permiso de residencia, revelando una trama que lucraba entre 6.000 y 10.000 euros por cada matrimonio de conveniencia. La red operaba a través de una estructura que incluía captadores de contrayentes y 'empadronadores' . El cabecilla reclutaba a personas dispuestas a regularizar su situación ilegal en España, ofreciéndoles la oportunidad de casarse con españoles a cambio de sumas significativas de dinero. Se buscaban parejas ficticias en zonas de ocio de Barcelona y una vez establecida la conexión, se trabajaba en hacer creíble la relación y proporcionar un 'domicilio común'. Los 'empadronadores' , propietarios de inmuebles o titulares de contratos de alquiler, colaboraban facilitando el empadronamiento de las parejas ficticias en sus viviendas a cambio de comisiones . Posteriormente, la pareja se dirigía a un notario en Barcelona para formalizar una escritura pública de constitución de pareja de hecho . Este paso permitía la inscripción en el Registro de Parejas Estables de Cataluña.",Sucesos
Se declara como improcedente el despido de la panadera que orinaba en los recipientes de amasado del pan,https://www.larazon.es/cataluna/barcelona/declara-como-improcedente-despido-panadera-que-orinaba-recipientes-amasado-pan_20231026653ac270e8e7a5000158ef3b.html,2023-10-26,"El Tribunal Superior de Justicia de Cataluña (TSJC) ha declarado como improcedente el despido de una trabajadora de una panadería en la estación de Sants (Barcelona) por orinar en recipientes destinados a productos de consumo humano. Además, los jueces han ordenado a la empresa que deben readmitirla en su puesto o pagar una compensación de 25.000 euro s. La prueba principal que sustentó la decisión de despedirla fue una grabación de la cámara del obrador de la panadería , que también servía como vestuario para los empleados. Sin embargo, el Tribunal no ha considerado la grabación como admisible debido a que viola el derecho a la intimidad de la trabajadora, ya que la instalación de la cámara no fue comunicada previamente a los empleados. Estos hechos ocurrieron en octubre de 2018 . La panadera recibió una notificación de despido inmediato mediante un burofax. En él, se detallaba que la habían observado ""hasta en tres ocasiones en cuclillas, miccionando dentro de un bol, arrojando su contenido por el fregadero, remojando el bol ligeramente en agua y depositándolo con el resto de los utensilios limpios usados en tareas de producción para el consumo de los clientes"".",Sucesos
