Título;Enlace;Fecha;Primeros_Párrafos
Cau a Barcelona una banda de narcos que utilitzava velers per transportar haixix i cocaïna a altres països;https://www.elperiodico.cat/ca/successos/20250611/barcelona-banda-narcos-utilitzava-velers-droga-118483271;11/06/2025;Utilitzaven velers per al transport internacional de drogues,una modalitat poc habitual en el narcotràfic que pretenia eludir els controls policials de les rutes comercials.Així actuava una banda desarticulada per la Guàrdia Civil a la província de Barcelona que utilitzava embarcacions per portar a altres països grans quantitats d’estupefaents, principalment haixix i cocaïna.
Catalunya té menys policies i més delictes per cada mil habitants que la mitjana espanyola;https://www.elperiodico.cat/ca/societat/20250610/policies-delictes-mil-habitants-mossos-augment-118452053;10/06/2025;En sis anys, els Mossos d’Esquadra passaran de tenir els 20.064 efectius d’aquest 2025 a 25.000 el 2030. Serà gradualment i afectarà totes les promocions de manera constant,començant per la convocatòria, que ja està publicada i que ofereix 1.587 places. Així constaen el full de ruta aprovada pel Governsota la denominació de Pla 25.000 per tenir aquesta xifra de policies dins del cos autonòmic en cinc anys.
Detingut a Castellbisbal un gihadista format en altres països en ús d’armes de foc;https://www.elperiodico.cat/ca/politica/20250610/detingut-castellbisbal-gihadista-format-paisos-118439264;10/06/2025;La Guàrdia Civil va detenirun veí de Castellbisbalpels delictes d’adoctrinament i autocapacitació terrorista. En el rastreig de xarxesque fan els investigadors per detectar el consum i difusió públicade contingut propagandístic d’organitzacions terroristes de tall gihadista com DAESH van localitzar el sospitós.
Més del 90% dels narcoassalts a Catalunya estan vinculats a la marihuana;https://www.elperiodico.cat/ca/successos/20250609/narcoassalts-marihuana-catalunya-armes-foc-118330888;09/06/2025;La recentdesarticulació d’una organització criminal dedicada al tràfic de drogues i armesper part de la Divisió d’Investigació Criminal de Barcelona dels Mossos d’Esquadra constata la persistència a Catalunya de la violència associada a aquest tipus de delinqüència, majoritàriament la relacionada amb la marihuana. Els narcoassaltss’han convertit en una de les principals preocupacions policials:cada vegada més sovint es troben armes de foc curtes i llargues al costat de munició en les operacions que realitzen.
La dona detinguda per una agressió sexual a un jove a la sauna d’un hotel de Magaluf: «Em vaig posar calenta»;https://www.elperiodico.cat/ca/successos/20250606/dona-detinguda-agressio-sexual-jove-magaluf-mallorca-sauna-hotel-118313289;06/06/2025;La turista irlandesa de 37 anysdetinguda per una agressió sexual a un jove suec de 20 anysa lasauna d’un hotel de Magaluf(Calvià) va al·legar davant la jutge de guàrdia que estava flirtejant amb ell. «Em vaig posar calenta. Vaig pensar que ell també estava interessat en mi, que estàvem lligant», va argumentar en la seva declaració, a la qual ha tingut accés ‘Diario de Mallorca’. L’acusada va reconèixer queva posar la mà sobre els genitals del noi, que la va rebutjar. «Vaig demanar perdó de seguida. Em vaigquedar molt avergonyida», va assegurar l’acusada, representada per l’advocat Joan Arbós, abans de serposada en llibertat.
Cau una de les bandes de narcos de la marihuana més activa de Girona: 24 detinguts i 8.500 plantes requisades;https://www.elperiodico.cat/ca/successos/20250606/cau-bandes-narcos-marihuana-activa-girona-118306140;06/06/2025;Era una de les bandes de traficants de marihuana més importants de la zona de Girona que operava de forma jerarquitzada,plantant aquesta droga en cases unifamiliars i naus industrialsamb instal·lacions sofisticades per fer créixer els cultius i connexions fraudulentes a la xarxa elèctrica. Així operaval’organització criminal desarticulada per la Guàrdia Civildimarts passat amb 24 detinguts en diverses localitats de Girona i Barcelona.
Mata el fill de la seva parella, fereix la dona i se suïcida a Sentmenat;https://www.elperiodico.cat/ca/successos/20250602/mata-el-fill-de-la-118108901;02/06/2025;Especialista enpobresa, migracions, dependència, infància vulnerable, feminismes i LGTBI
Set ferits, un de gravetat, en una baralla amb armes blanques a Sabadell;https://www.elperiodico.cat/ca/successos/20250601/set-ferits-gravetat-baralla-amb-118080837;01/06/2025;Un baralla amb armes blanques de matinada a Sabadell ha acabat ambset ferits, un de gravetat, segons han informat els Mossos d'Esquadra. La batussa s'ha produït pels voltants de les 02.45 hores al carrer de Ramon Llull, al polígon industrial Gràcia sud. La disputa a la via pública ha enfrontat dos col·lectius d'origen sud-americà, de procedència equatoriana i dominicana, segons han precisat fonts policials. La Policia Local de Sabadell han estat la primera a arribar al lloc i ha localitzat els set ferits -un de gravetat i sis de lleus-, tots equatorians. L'afectat més greuha estat evacuat pel SEM a l'Hospital Parc Taulí de Sabadelli els Mossos han iniciat una investigació per trobar els autors materials de l'agressió.
La Policia Nacional, preocupada en detectar una nova estafa que utilitza les etiquetes de les escombraries: així pots evitar-la;https://www.elperiodico.cat/ca/successos/20250530/la-policia-nacional-preocupada-en-112109564;30/05/2025;Des de laPrefectura Superior de Policia de La Riojaalerten de la comissió d'unanova estafa, coneguda amb l'anglicisme 'dumpster diving' i que és més comuna enperíodes de rebaixes o de campanyes de compres. Consisteix enestafarles víctimes aprofitant lainformació sensible i personalque hi ha a lesetiquetes dels paquetsque es reben al domicili i que posteriorment es llencen als contenidors d'escombraries o papereres.
Ana Julia Quezada, a una altra presa: «Mataré la mare del nen, m’ha fotut el documental»;https://www.elperiodico.cat/ca/successos/20250530/ana-julia-quezada-amenaces-mare-gabriel-documental-118011075;30/05/2025;Va conviure durant mesos ambAna Julia Quezada a la presó de Brieva (Àvila). Quan va complir la seva condemna i va tornar a ser una dona lliure, va buscar Patricia Ramírez, la mare deGabriel Cruz,i li va advertir que la seva vida «corria perill» perquè l’assassina del seu fill pensava «venjar-se d’ella» per«haver-li fotut el documental»que estava gravant des de dins de la presó.
Un tatuatge de la Bíblia i un mapa del seu país van delatar l’assassí que s’amagava a Barcelona;https://www.elperiodico.cat/ca/successos/20250529/detingut-assassi-fugitiu-tatuatges-biblia-117948800;29/05/2025;La policia anglesa el buscava per assassinat. El 14 d’abril ell i cinc integrants més de la banda dels Trinitarios havienapunyalat fins a la mortun jove de 21 anys en un barri del sud de Londres. Els seus companys, tots d’uns vint anys, van ser detinguts pocs dies després del crim, però ell ja havia fugit d’Anglaterra.
Del 'franquiciador' al 'broker' de la marihuana: les 'noves professions' del narcotràfic;https://www.elperiodico.cat/ca/societat/20250526/del--franquiciador--al-117710449;26/05/2025;L'any passat els Mossos d'Esquadra van desmantellara444 plantacions de marihuana a Catalunya, la qual cosa va suposar requisar542.100 plantes, uns 6.976 quilos d'aquesta droga. Unes xifres superiors a les de 2023 quan es van trobar 429 cultius amb 522.361 plantes, que van pesar 6.252 quilos de marihuana. Les dades d'aquestes incautacions mostren el volum denegoci d'aquest narcotràficque ha provocat l'aparició de noves 'professions criminals'relacionades amb la producció i distribució de marihuana.
Sanció de quatre anys sense sou ni feina al policia de Badalona que va robar sobres de pernil de 25 euros en un Mercadona;https://www.elperiodico.cat/ca/badalona/20250523/quatre-anys-sou-feina-policia-badalona-robatori-pernil-25-euros-mercadona-117738533;23/05/2025;Redactor i coordinador de l'equip d'informació de l'àrea metropolitana de Barcelona
Els Mossos investiguen un tret contra un bus de TMB a Barcelona;https://www.elperiodico.cat/ca/successos/20250523/tret-bus-tmb-baro-barcelona-117735539;23/05/2025;Unautobúsde la línia 183 de Transports Metropolitans de Barcelona (TMB) va rebre l’impacte del que podria ser untret amb una arma d’aire comprimit, possiblement de balins, al barri barceloní deTorre Baró. L’incident va tenir lloc aquest dijous, al voltant de les22.40 hores, al carrer de Sant Feliu de Codines.
Els Mossos tanquen la investigació per la mort de l’amo de Mango: conclouen que la caiguda va ser accidental;https://www.elperiodico.cat/ca/successos/20250521/mossos-tanquen-investigacio-mort-mango-caiguda-collbato-amo-fill-117650594;21/05/2025;Els Mossos d’Esquadrano han trobat indicis de criminalitat en la mort d’Isak Andic,empresari ipropietari de la companyia Mango,el 14 de desembre després decaure des d’una altura de més de 100 metres,quan recorria un sender a prop de les coves de Salnitre a Collbató amb el seu fill, el Jonathan. Després de les indagacions practicades, la policia ha conclòs que es va tractar d’un accident fatídic. Així consta en els atestats policials presentats alJutjat de Primera Instància i Instrucció número 5 de Martorell,que, a inicis de març, va reobrir la investigació.
Catalunya tindrà sis nous radars autònoms per a les carreteres amb més accidents de trànsit;https://www.elperiodico.cat/ca/societat/20250520/tindra-sis-nous-carro-radar-carreteres-accidents-117589625;20/05/2025;El Govern ha donat llum verda perquè les carreteres catalanes tinguin més radars per reduir la sinistralitat. En els dos pròxims anys, el Servei Català de Trànsit (SCT)comprarà sis nous radars remolc o radars autònomsper col·locar de manera dinàmica endiferents punts de la xarxa viària on es detecti una alta concentració d’accidents per excés de velocitat. Aquests sis nous cinemòmetres se sumen als quatre que té Trànsit per combatre la dispersió de la sinistralitat registrada a les carreteres catalanes.
Avís de la Guàrdia Civil: a partir d’ara, no es pot deixar això a la guantera del cotxe;https://www.elperiodico.cat/ca/vida-i-estil/20250519/avis-guardia-civil-partir-d-117577351;19/05/2025;En el nostre dia a dia, la seguretat hauria de ser una prioritat en tots els àmbits del nostre entorn: des de la comoditat de casa fins a la tranquil·litat del nostre vehicle. Tot i que poden semblar inofensius, certs hàbits poden derivar ensorpreses molt desagradables(i costoses) si no es prenen les precaucions adequades.
Operat d’urgència el ferit greu per l’atropellament de Cornellà;https://www.elperiodico.cat/ca/cornella/20250517/operat-urgencia-ferit-greu-atropellament-rcd-espanyol-117498055;17/05/2025;L’home ingressat en estat greu per l’atropellament múltiple de dijousa Cornellà de Llobregat ha hagut de ser operat d’urgència aquesta matinada. Fa gairebé dos dies que és a l’uci de l’Hospital de Bellvitge. Segons han explicat a EL PERIÓDICO fonts coneixedores del cas de primera mà, el seu estat de salut ha empitjorat i continuarà sedat almenys fins dilluns. Estàen coma induït per un coàgul al capa causa de l’impacte del turisme que va atropellar assistents a un partit del camp del RCD Espanyol.
La gran ficada de pota de Lola Índigo després de l’atropellament a Cornellà: ha hagut de demanar perdó;https://www.elperiodico.cat/ca/gent/20250516/lola-indigo-atropellament-cornella-derbi-espanyol-barca-lliga-dv-117459680;16/05/2025;Unatropellamentmúltiple accidentalalsvoltants de l’RCDE Stadium de Cornellàha sembrat el pànic aquest dijous a pocs minuts de començar elderbi barceloní.
Un home de 41 anys, ingressat a l'UCI en estat greu després de l'atropellament massiu a Cornellà;https://www.elperiodico.cat/ca/cornella/20250516/un-home-de-41-anys-117460255;16/05/2025;Unhome de 41 anyssegueixingressat en estat greua la unitat de cures intensives (UCI) d'un centre hospitalari arran de l'atropellament massiuocorregut aquest dijous 15 de maig als voltants de l'estadi delRCD Espanyol, aCornellà de Llobregat. Així ho ha confirmat el Departament de Salut en un breu comunicat en el qual assenyala que el balanç final va sumar un total de 17 persones ferides.
Tres detinguts a l'Hospitalet i Cornellà de Llobregat per furts i estafes fent-se passar per operaris de gas;https://www.elperiodico.cat/ca/hospitalet/20250516/tres-detinguts-a-l-hospitalet-117458665;16/05/2025;Els Mossos d'Esquadra van detenir el 6 de maig a l'Hospitalet i Cornellà de Llobregat dos homes i una dona, d'entre 18 i 28 anys, implicats en onze fets relacionats amb furts i estafes comesos amb el mètode dels falsos operaris. La investigació va començar el setembre del 2024 arran de la detecció d'un seguit de característiques comunes que presentaven les denúncies interposades per les víctimes. Els autors, que actuaven a l'àrea metropolitana i a Barcelona, escollien persones vulnerables per la seva edat i que vivien soles. Dies abans del furt, aquestes persones rebien la trucada d'una dona que deia trucar en nom d'una empresa subministradora del gas amb la finalitat de posar data per dur a terme una revisió en el seu domicili.
El jutge crida a declarar el funcionari de Presons acusat de fer favors a Ana Julia Quezada a canvi de sexe;https://www.elperiodico.cat/ca/successos/20250513/ana-julia-jutge-declarar-funcionari-presons-sexe-117360415;13/05/2025;És unveterà funcionari de presons,casat i amb fills. I està sent investigat per un possibledelicte de suborn,en aquest cas, per rebre sexe a canvi de ferfavors a la presaAna Julia Quezada, assassina del nen Gabriel Cruz a Almeria. Diversos testimonis del sumari del cas de corrupció a la presó de Brieva (Àvila), al qual ha accedit el canal d’investigació i successos de Prensa Ibérica, l’assenyalen com a «protector» d’Ana Julia, a qui hauriadonat un tracte de favora canvi de tenir relacions sexuals amb ella, a la seva cel·la.
Càmeres ocultes, roba infantil, abusos sexuals en grup i sadomasoquisme: així actuava la xarxa de pederastes liderada pel ‘Pelicot català’;https://www.elperiodico.cat/ca/societat/20250513/ocultes-roba-infantil-sexe-grup-pelicot-catala-pederasta-117329823;13/05/2025;Tots eren«plenament conscients»de laminoria d’edat de les víctimes, entre 12 i 17 anys, i tot i així acudien a un domicili deCiutat Vellaa Barcelona per mantenir sexe amb elles –delicte tipificat com aagressió sexual,donada lafalta de consentimentenmenors de 16 anys–després d’acordar-ho ambT. L. M., el principal acusat i capitost d’una xarxa depederastes desarticulada pels Mossos d’Esquadra l’estiu passat. LaFiscalia demana per a T. L. M., anomenatcom el ‘Pelicot català’, més de 107 anys de presó per agredir sexualment una menor de 12 anys tutelada per la DGAIA ioferir-la a altres homes a través d’aplicacions de cites i xarxes socials. Totes les violacions passaven al mateix pis de l’acusat, que el llogava per a aquestes pràctiques. La menor, no obstant, no és l’única víctima.
Una dona acull una amiga a casa i acaba ocupant-li el pis amb dos homes a Barcelona;https://www.elperiodico.cat/ca/barcelona/20250512/una-dona-acull-una-amiga-117307554;12/05/2025;A vegades deixes entrar un enemic a casa camuflat d'amic, tot i que en aquell moment no ho sàpigues. És el que li va passar a una veïna del districte de Ciutat Vella de Barcelona, que aquest diumenge va acudir a una comissaria de laGuàrdia Urbanaper denunciar queuna amiga seva, a qui recentment haviadeixat quedar-se uns dies a casa seva mentre buscava un lloc definitiu on viure, li havia usurpat l'habitatge.
Detingut un conductor borratxo per circular 15 km contra direcció a Olot;https://www.elperiodico.cat/ca/successos/20250511/detingut-conductor-borratxo-circular-contra-direccio-117266710;11/05/2025;Aquest dissabte a la tarda, els Mossos d’Esquadravan detenir un conductor que va circular durant 15 quilòmetres en sentit contrari per l’autovia A2, en el tram entre Argelaguer i Olot. 6 Gràcies a la col·laboració ciutadana, ja que altres usuaris de la carreteravan avisar d’aquesta imprudènciaamb diverses trucades als serveis d’emergència cap a les 18 hores, els agents van poder localitzar el cotxe.
Tres detinguts per atracar un banc a Camarles;https://www.elperiodico.cat/ca/successos/20250510/tres-detinguts-atracar-banc-camarles-117242398;10/05/2025;L’11 de març, dos homesque ocultaven el rostre amb gorres i mascaretes van entrar a una oficina bancària de Camarlesarmats amb dues pistoles, aprofitant que a dins no hi havia clients. Després d’amenaçar els empleats, els van immobilitzar i van requerir el director perquè els entregués els diners de la caixa. Així, els atracadors van aconseguir un botí de 1.200 euros
Tornada a les mascaretes als municipis confinats pel núvol de clor: «Hi havia una oloreta de piscina que flipes»;https://www.elperiodico.cat/ca/societat/20250510/tornada-mascaretes-municipis-confinats-nuvol-toxic-vilanova-117241130;10/05/2025;Especialista enBarcelona i àrea metropolitana
Aixecat el confinament per l’incendi tòxic a Vilanova i la Geltrú;https://www.elperiodico.cat/ca/successos/20250510/confinades-cinc-poblacions-incendi-toxic-117231961;10/05/2025;Especialista enBarcelona i àrea metropolitana
Detingut a Alemanya un violador que es va escapar fa dos anys d’una presó catalana;https://www.elperiodico.cat/ca/successos/20250509/detingut-a-alemanya-un-violador-117206400;09/05/2025;L’Oficina Federal d’Investigació d’Alemanya (Bundeskriminalamt BKA) i elsMossos d’Esquadravan detenir el passat 28 d’abril a la localitat de Frankfurt del Main unhome de 27 anys que fa dos anys es va escapar d’un centre penitenciaricatalà quan complia una condemna de 13 anys de presó pels delictes d’agressió sexual i intent d’homicidi.
Condemnat un pare per agredir un home que havia tocat el seu fill en una piscina de Lleida;https://www.elperiodico.cat/ca/societat/20250508/pare-agredir-home-tocaments-fill-piscina-lleida-117154793;08/05/2025;Especialista enSuccessos, tribunals, assumptes policials i de cossos d'emergències
La nòvia d’Ana Julia Quezada: una jove catalana que va trucar al tarot i va confessar tota la trama sexual que hi havia a la presó;https://www.elperiodico.cat/ca/successos/20250508/novia-ana-julia-quezada-tarot-trama-sexual-117150802;08/05/2025;Utilitza un nom exòtic de dona a la feina. Es guanya la vida contestant a un telèfon de consultes sobre tarot, vidència i el futur. L’octubre del 2023 va rebre la primera trucada d’una jove catalana, de llavors 27 anys. «Estava molt nerviosa,la seva relació sentimental no anava béi volia saber si els problemes se solucionarien», va explicar aquesta tarotista davant laGuàrdia Civil. La parella problemàtica era «Ana Julia, Piscis, 49 anys».
La Fiscalia del Suprem recorre l’absolució d’Alves al considerar que el TSJC va ser «arbitrari i cruel» amb la víctima;https://www.elperiodico.cat/ca/societat/20250507/fiscalia-recorre-absolucio-alves-considerar-117127495;07/05/2025;LaFiscalia del Tribunal Supremha presentat elrecurs contra la decisió del Tribunal Superior de Justícia de Catalunya(TSJC)d’exculparl’exjugador de futbolDani Alvesd’un delicted’agressió sexual amb penetració.
Els delictes de desobediència, resistència o atemptat contra l’autoritat repunten el 10% a Catalunya;https://www.elperiodico.cat/ca/societat/20250506/delictes-desobediencia-resistencia-atemptat-autoritat-augmenten-catalunya-117056022;06/05/2025;El 2020, en plena pandèmia de la covid i sota confinaments, restriccions de mobilitat i tocs de queda, els Mossos d’Esquadra van imposar8.757 denúncies per desobediència i resistència a l’autoritat a tot Catalunya. Aquestes sancions, decaràcter administratiu, es van aplicar per incompliments dela llei de protecció de la Seguretat Ciutadana, principalment per no acatar ordres d’agents de policia. Aquell any es van difondre nombroses imatges d’aldarulls a la via pública, especialment a l’estiu, quan patrulles policials intervenien en botellots i eren rebudes amb llançaments d’objectes com ampolles o pedres.
Un policia fora de servei evita el suïcidi d'una dona en un pont de la Gran Via de Barcelona;https://www.elperiodico.cat/ca/successos/20250505/un-policia-fora-de-servei-117039217;05/05/2025;El passat 31 de març, un agent de la Policia Nacional destinat a la Brigada Provincial de Policia Judicial de Barcelona que es trobava lliure de servei va evitar que una dona d'uns 20 anys se suïcidés llançant-se des d'un pont a l'encreuament entre el carrer Bilbao i la Gran Via de les Corts Catalanes de Barcelona. La jove estava pujada a la barana d'un pont de la ciutat de Barcelona, amb intencions de llançar-se al buit contra la carretera de la part inferior del pont per on circulava el trànsit rodat de vehicles.
Tres ferits en caure part de l'estructura de l'escenari d'un festival de jotes;https://www.elperiodico.cat/ca/successos/20250504/tres-ferits-caure-part-lestructura-117028781;04/05/2025;Tres persones han resultatferides lleusaquest diumenge a la tarda durant elfestival de jotesque se celebrava a la Plana de Badalona (Barcelonès). Segons ha informat l'alcalde,Xavier García Albiol,ha caigut part de l'estructura d'il·luminació i ja s'està investigant què ha provocat l'accident. Elsveïns de la zonahan ajudat els equips municipals a atendre els afectats.
Catalunya registra 23 robatoris de cotxes i motos cada dia: el Seat Ibiza, el turisme més sostret;https://www.elperiodico.cat/ca/societat/20250504/23-cotxes-motos-robats-cada-dia-catalunya-seat-ibiza-turisme-mes-buscat-catalunya-116660490;04/05/2025;Malgrat que noes tracta d’un dels delictes més freqüents a Catalunya, els robatoris de vehicles de motor –cotxes, motos o ciclomotors– generen inquietud entre els propietaris. El 2024 van ser sostretes 8.543 unitats, xifra que suposa un augment de prop de l’1% respecte al 2023.
‘La casa dels horrors’ d’Oviedo tenia un desmesurat consum d’aigua i una sala d’estudi per als tres nens;https://www.elperiodico.cat/ca/successos/20250503/casa-horrors-oviedo-tenia-desmesurat-116987968;03/05/2025;Elstres nensque van passar gairebé la meitat de la seva vida tancats en una casa d’Oviedoconvertida en una espècie debúnquer familiarmiren d’adaptar-se a poc a poc a la seva nova realitat. Tot i que experts consultats per ‘La Nueva España’ coincideixen a assenyalar quela recuperació de les seqüeles psicològiques que la llarga tancada ha provocat als menors «serà llarga», les primeres informacions sobre el seu estat revelades pel Principat d’Astúries són esperançadores.
Detingudes tres persones a Castelldefels i Montcada per enaltiment del terrorisme gihadista;https://www.elperiodico.cat/ca/politica/20250502/mossos-policia-nacional-gihadistes-detinguts-montcada-castelldefels-116960771;02/05/2025;ElsMossos d’Esquadrai laPolicia Nacionalvan detenir dilluns tres persones perenaltiment del terrorisme i amenaces gihadistes. Els arrestos es van dur a terme als municipis de Castelldefels i Montcada i Reixac. El Jutjat d’Instrucció número 5 de l’Audiència Nacional va ordenar el seu ingrés a la presó.
Rafael Sánchez, guàrdia civil envestit per una narcollanxa a 180 quilòmetres per hora al Guadalquivir: «Vaig veure la mort»;https://www.elperiodico.cat/ca/successos/20250502/rafael-sanchez-guardia-civil-envestit-116959834;02/05/2025;Rafael Sánchez,guàrdia civilde Jerez, no sabia fa uns mesos com canviaria la seva vida d’un moment a l’altre. Aquella nit, «tot el que va poder sortir malament, va sortir malament», reconeix. El mes de desembre passat, Sánchez prestava servei juntament amb els seus companys en el Servei Marítim de la Benemèrita a la desembocadura del Guadalquivir quan van veure entrar diverses narcollanxes carregades d’haixix riu amunt. Una de les gomes, ambquatre motors de 350 cavalls cada un, anava directa cap a ells.
Així és el pare de la «casa dels horrors» d’Oviedo: un «caçatalents» rere la pantalla;https://www.elperiodico.cat/ca/successos/20250502/pare-casa-horrors-oviedo-cacatalents-116959039;02/05/2025;L’alemany de 53 anys detingut per la Policia Local juntament amb la seva dona de 48 per tancardurant gairebé quatre anys els seus tres fills d’entre 8 i 10anys en una casa de Vitòria es guanyava la vida sense ni tan sols sortir de la vivenda. L’home, que va llogar la vivenda a través d’una immobiliària l’octubre del 2021 i s’hi va mudar amb la seva família dos mesos més tard, va teletreballar des d’aleshores com a assessor de recursos humans autònom per a diverses empreses, malgrat que era doctor en Filosofia i havia cursat estudis que li permetien impartir classes en instituts del seu país d’origen.
