"id","product_name","price","colour","weight","warehouse_id"
"41","Lannister Barratheon Direwolf","141.00999451","#fcfcfc","3.2000000477","WH-36"
"42","sith","83.510002136","#494949","0.8000000119","WH-37"
"43","duel","59.799999237","#5b5b5b","0.6000000238","WH-38"
"44","Karstark Dorne","105.48000336","#878787","1.3999999762","WH-39"
"45","south","92.650001526","#bfbfbf","1.2000000477","WH-40"
"46","giantsblood maester Karstark","58.779998779","#2b2b2b","2.4000000954","WH-41"
"47","Tully","82.150001526","#919191","2.7000000477","WH-42"
"48","rock Renly in","21.530000687","#9e9e9e","2.0999999046","WH-43"
"49","the giantsblood maester","53.310001373","#e2e2e2","1","WH-44"
"50","in","124.04000092","#7a7a7a","2","WH-45"
"51","north Tully","30.13999939","#262626","1.5","WH-46"
"52","riverlands the duel","31.520000458","#727272","3","WH-47"
"53","kingsblood Littlefinger the","137.80999756","#3a3a3a","3.2000000477","WH-48"
"54","dooku solo","13.140000343","#e5e5e5","0.8000000119","WH-49"
"55","Tully maester","3.8299999237","#6d6d6d","0.6000000238","WH-50"
"56","Direwolf riverlands","167.07000732","#5b5b5b","1.3999999762","WH-51"
"57","Direwolf Stannis riverlands","170.75999451","#848484","1.2000000477","WH-52"
"58","solo palpatine chewbacca","130.58999634","#2b2b2b","2.4000000954","WH-53"
"59","Direwolf Stannis","114.76999664","#bcbcbc","2.7000000477","WH-54"
"60","rock Renly","68.379997253","#898989","2.0999999046","WH-55"
"61","Winterfell Lannister","28.010000229","#848484","1","WH-56"
"62","the duel","188.94000244","#666666","2","WH-57"
"63","Jade tatooine dooku","188.58000183","#dbdbdb","1.5","WH-58"
"64","Direwolf","195.61999512","#b7b7b7","3","WH-59"
"65","riverlands the","121.91000366","#6b6b6b","3.2000000477","WH-60"
"66","mustafar jinn","2.1199998856","#545454","0.8000000119","WH-61"
"67","Winterfell","195.94000244","#1c1c1c","0.6000000238","WH-62"
"68","Stark Karstark","167.36999512","#333333","1.3999999762","WH-63"
"69","Littlefinger the giantsblood","57.25","#b7b7b7","1.2000000477","WH-64"
"70","Direwolf Stannis","6.9299998283","#c9c9c9","2.4000000954","WH-65"
"71","Tully Dorne","103.73000336","#424242","2.7000000477","WH-66"
"72","north","161.6000061","#474747","2.0999999046","WH-67"
"73","Dorne bastard","114.08999634","#848484","1","WH-68"
"74","duel warden","158.28999329","#707070","2","WH-69"
"75","giantsblood maester Karstark","9.4600000381","#f9f9f9","1.5","WH-70"
"76","Littlefinger Tarly","65.069999695","#686868","3","WH-71"
"77","Tarly Littlefinger","150.5","#f4f4f4","3.2000000477","WH-72"
"78","Karstark warden","178.8500061","#919191","0.8000000119","WH-73"
"79","Direwolf riverlands the","132.86000061","#b2b2b2","0.6000000238","WH-74"
"80","Tarly Stark","14.100000381","#020202","1.3999999762","WH-75"
"81","the duel","15.869999886","#7f7f7f","1.2000000477","WH-76"
"82","kingsblood Littlefinger the","12.449999809","#545454","2.4000000954","WH-77"
"83","duel tourney","26.510000229","#cccccc","2.7000000477","WH-78"
"84","Karstark Tully Dorne","92.910003662","#353535","2.0999999046","WH-79"
"85","bastard of north","62.619998932","#474747","1","WH-80"
"86","Stark kingsblood","189.21000671","#141414","2","WH-81"
"87","sith Jade","96.260002136","#e2e2e2","1.5","WH-82"
"88","Stannis warden south","167.1499939","#515151","3","WH-83"
"89","skywalker ewok","172.77999878","#636363","3.2000000477","WH-84"
"90","Winterfell","39.729999542","#757575","0.8000000119","WH-85"
"91","the duel","59.759998322","#adadad","0.6000000238","WH-86"
"92","Stannis warden","168.49000549","#afafaf","1.3999999762","WH-87"
"93","Littlefinger Tarly Stark","192.6000061","#efefef","1.2000000477","WH-88"
"94","in south Winterfell","51.939998627","#3a3a3a","2.4000000954","WH-89"
"95","riverlands north Direwolf","6.9000000954","#c1c1c1","2.7000000477","WH-90"
"96","dooku solo","20.920000076","#282828","2.0999999046","WH-91"
"97","jinn Winterfell","65.25","#bababa","1","WH-92"
"98","Direwolf Littlefinger","38.330001831","#bababa","2","WH-93"
"99","the duel","151.77999878","#212121","1.5","WH-94"
"100","south duel","40.430000305","#6d6d6d","3","WH-95"
